trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-112.95948637496622,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-141.15307805233994,"{0: 20, 1: 5, 2: 9, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-97.86472038170662,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-247.17297878160807,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-214.7746876434381,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,11,-27.677147617483392,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-100.84283948075293,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,10,-72.29176084574267,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,10,-32.505654941870475,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,3.083548698715022,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-25.561892379397886,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-29.23511837684747,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-4.410196951112335,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,8,12.208879795080053,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,15.408221093846908,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,10,-0.20589320342635453,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,4.426559759047886,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,18.24680384008573,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-13.466080878690537,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,22,11.121385369999505,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,30.128686098993306,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,34.317516528354226,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,16,8.548091233326598,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,4,22.634835272098165,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,22.927007531588654,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,8,21.80017653029544,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,16,8.354426889464508,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,15,-0.990085407568339,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,4,-56.23659970129563,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",35,23,21.374887082880118,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
