trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.99401796405393528}",20,0,-106.4199246208297,"{0: 10, 1: 4, 2: 2, 3: 4, 4: 0}",0
2,False,"{'a': 0.7, 'e': 0.98807171286193052}",20,9,-72.46819420767395,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 1}",1
3,False,"{'a': 0.7, 'e': 0.98216103235830077}",20,0,-103.79286564693763,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.97628570975790929}",20,0,-99.67005482019812,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.97044553354850815}",20,0,-154.9988187705569,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
6,False,"{'a': 0.7, 'e': 0.96464029348312308}",20,0,-55.805350198669075,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.95886978057248451}",25,0,-162.550568277066,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.7, 'e': 0.95313378707750473}",25,0,-76.04333495728488,"{0: 16, 1: 5, 2: 1, 3: 3, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.94743210650179832}",25,0,-140.90555167712483,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.7, 'e': 0.94176453358424872}",30,0,-286.02236226715735,"{0: 11, 1: 5, 2: 9, 3: 1, 4: 4}",0
11,False,"{'a': 0.7, 'e': 0.93613086429161885}",20,0,-169.8506347148003,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.7, 'e': 0.93053089581120574}",25,0,-111.94435787644684,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.7, 'e': 0.92496442654353928}",25,0,-169.1905436371494,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
14,False,"{'a': 0.7, 'e': 0.91943125609512466}",30,6,-164.80513867454974,"{0: 15, 1: 2, 2: 2, 3: 2, 4: 3}",1
15,False,"{'a': 0.7, 'e': 0.91393118527122819}",25,0,-194.4110509156207,"{0: 9, 1: 7, 2: 5, 3: 2, 4: 2}",0
16,False,"{'a': 0.7, 'e': 0.90846401606870619}",25,0,-170.72253110817582,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.7, 'e': 0.90302955166887677}",20,0,-144.90366678862398,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.7, 'e': 0.89762759643043488}",20,0,-165.4760008884032,"{0: 10, 1: 3, 2: 2, 3: 3, 4: 2}",0
19,False,"{'a': 0.7, 'e': 0.8922579558824083}",25,0,-105.5962136474163,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
