trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-114.55031261390225,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.21156368886895,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.9569739745396,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.34137804930344,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.634078231965475,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,7,-186.89359416276494,"{0: 9, 1: 5, 2: 5, 3: 2, 4: 2}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-264.9230896279352,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 5}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-4.818611491633746,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-152.11495738846926,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-237.6205098884106,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,13,-16.490718704695297,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.85185817863226,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.8129831636978,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.39178243787,"{0: 10, 1: 5, 2: 1, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-163.43950990626183,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-256.3500107186394,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 5}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-189.05830550898077,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.80981256669824,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-123.67291792099282,"{0: 23, 1: 4, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-165.64748827360017,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-213.3411475968717,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-80.97725012735596,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-156.598441036109,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-207.5015707844128,"{0: 8, 1: 4, 2: 4, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-174.91828851231605,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.97595704726743,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-58.662992692405815,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-113.68471338287804,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.74945079141656,"{0: 8, 1: 1, 2: 10, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.76936509160258,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
